"","brand","format","p-value-price^2","p-value-discount^2","p-value-priceanddiscount^2","Decision"
"1","A","convenience","0","0.193","0","RegPriceNonlinear (mod 4)"
"2","A","hypermarket","0.023","0.646","0.07","RegPriceNonlinear (mod 4)"
"3","A","supermarket","0.037","0.308","0.084","RegPriceNonlinear (mod 4)"
"4","B","convenience","0.001","0.047","0.001","RegDisNonlinear (mod 6)"
"5","B","hypermarket","0.002","0.381","0.007","RegPriceNonlinear (mod 4)"
"6","B","supermarket","0.001","0.966","0.004","RegPriceNonlinear (mod 4)"
"7","C","hypermarket","0.01","0.322","0.023","RegPriceNonlinear (mod 4)"
"8","C","supermarket","0.007","0.731","0.027","RegPriceNonlinear (mod 4)"
"9","D","hypermarket","0.074","0.059","0.013","RegDisLinear (mod 3)"
"10","E","convenience","0.023","0.726","0.075","RegPriceNonlinear (mod 4)"
"11","E","hypermarket","0","0.122","0","RegPriceNonlinear (mod 4)"
"12","E","supermarket","0.022","0.834","0.073","RegPriceNonlinear (mod 4)"
"13","C","convenience","0.007","NA","NA","NonlinearFinal (mod 2)"
"14","D","convenience","0.022","NA","NA","NonlinearFinal (mod 2)"
"15","D","supermarket","0.139","NA","NA","FinalLinear (mod 1)"
