"","vecka","brand","format","totalvolume","totalvalue","LL","avgpricebefore","avgfinalprice","avgdiscount","totalnonpricecampaign","totalpricecampaign","nonpricecampaign","pricecampaign","depth","nondepth","avgcompLL","avgcomppricebefore","avgcompfinalprice","avgcompdiscount","totalvolume1","totalvalue1","LL1","avgfinalprice1","avgpricebefore1","avgdiscount1","nondepth1","avgcompLL1","avgcompfinalprice1","avgcomppricebefore1","avgcompdiscount1","dlogtotalvolume","dlogavgfinalprice","dlogavgpricebefore","dlognondepth","dlogLL","dlogavgcompLL","dlogavgcompfinalprice","cop_finalprice","cop_avgcompfinalprice","cop_logfinalprice","cop_logavgcompfinalprice","hgap","cgap","holiday","trend","campaign"
"2",201402,"Loka",3,36,688.4,13,19.1222222222222,19.1222222222222,0,26,0,1,0,0,1,10.8387096774194,13.80489432703,13.2750296027845,0.529864724245577,43,635.7,18,14.7837209302326,14.7837209302326,0,1,12.771509167842,13.7479350367321,13.7479350367321,0,-0.177681177237452,0.257324487632474,0.257324487632474,0,-0.325422400434628,-0.164092888307328,-0.0350038365973622,1.27656918729983,-0.406724251871364,1.27656918729983,-0.406724251871364,0.257324487632474,0.440465505117315,1,2,1
"4",201403,"Loka",3,46,858.4,16,18.6608695652174,18.6608695652174,0,48,0,1,0,0,1,10.2282958876419,12.0245160737222,11.6349311373283,0.389584936393963,36,688.4,13,19.1222222222222,19.1222222222222,0,1,10.8387096774194,13.2750296027845,13.80489432703,0.529864724245577,0.245122458032985,-0.0244223310538807,-0.0244223310538807,0,0.207639364778244,-0.0579659692886505,-0.131872918933142,1.12929850865142,-1.02150013776419,1.12929850865142,-1.02150013776419,-0.0244223310538807,0.603865922794149,0,3,1
"7",201404,"Loka",3,34,479.54,16,14.1705882352941,14.1041176470588,0.0664705882352941,32,64,1,1,0.00469074304690743,0.995309256953093,10.5038793347554,11.7250507195119,11.6485770164823,0.0764737030296233,46,858.4,16,18.6608695652174,18.6608695652174,0,1,10.2282958876419,11.6349311373283,12.0245160737222,0.389584936393963,-0.302280871872934,-0.27996200836993,-0.275260229262784,-0.00469074304690742,0,0.0265866631932621,0.00117214988620029,0.330227498794809,-0.994097425556237,0.330227498794809,-0.994097425556237,-0.27996200836993,0.210801768070212,0,4,1
"10",201405,"Loka",3,48,994.01,19,20.7333333333333,20.7085416666667,0.0247916666666667,19,19,1,1,0.00119573954983923,0.998804260450161,11.3592413178126,10.6858921049601,10.6787379584776,0.00715414648253922,34,479.54,16,14.1041176470588,14.1705882352941,0.0664705882352941,0.995309256953093,10.5038793347554,11.6485770164823,11.7250507195119,0.0764737030296233,0.34484048629173,0.384079469602788,0.380574145512414,0.00349500349706822,0.171850256926659,0.0782869762762748,-0.086929370175798,1.54309792741113,-1.90317630536715,1.54309792741113,-1.90317630536715,0.384079469602788,0.939231185107097,0,5,1
"15",201406,"Loka",3,56,805.6,19,14.3857142857143,14.3857142857143,0,0,0,0,0,0,1,14.8227027027027,14.6468563300142,14.6468563300142,0,48,994.01,19,20.7085416666667,20.7333333333333,0.0247916666666667,0.998804260450161,11.3592413178126,10.6787379584776,10.6858921049601,0.00715414648253922,0.154150679827258,-0.364310605391047,-0.36550706040782,0.0011957395498392,0,0.266128346185285,0.315971069586753,0.371149323202284,-0.038488443242923,0.371149323202284,-0.038488443242923,-0.364310605391047,-0.0178292213985057,0,6,0
"16",201407,"Loka",3,44,670,24,15.2272727272727,15.2272727272727,0,0,0,0,0,0,1,15.1643086434431,11.6910771608608,11.115493401498,0.575583759362739,56,805.6,19,14.3857142857143,14.3857142857143,0,1,14.8227027027027,14.6468563300142,14.6468563300142,0,-0.241162056816889,0.0568524277975468,0.0568524277975468,0,0.233614851181505,0.0227845792985248,-0.275885790425419,0.529453017544789,-1.38299412710064,0.529453017544789,-1.38299412710064,0.0568524277975468,0.369914242872974,0,7,0
"19",201408,"Loka",3,56,1040.9,21,18.8,18.5875,0.2125,0,126,0,1,0.0113031914893617,0.988696808510638,12.2021757248761,11.9851606530424,11.3314847795113,0.653675873531118,44,670,24,15.2272727272727,15.2272727272727,0,1,15.1643086434431,11.115493401498,11.6910771608608,0.575583759362739,0.241162056816889,0.199401233319523,0.210768791369153,-0.0113031914893617,-0.133531392624523,-0.217330277199296,0.0192451779253235,1.10873652652279,-1.27656918729983,1.10873652652279,-1.27656918729983,0.199401233319523,0.640341081656703,0,8,1
"22",201409,"Loka",3,56,708.25,20,13.15,12.6473214285714,0.502678571428571,40,140,1,1,0.0382265073329712,0.961773492667029,18.7381938690969,12.535924313919,12.4166440150336,0.119280298885432,56,1040.9,21,18.5875,18.8,0.2125,0.988696808510638,12.2021757248761,11.3314847795113,11.9851606530424,0.653675873531118,0,-0.385043863810796,-0.35743511121213,-0.0269233158436095,-0.0487901641694322,0.428949619838822,0.0914527169088339,0.0109942051395756,-0.667604687259214,0.0109942051395756,-0.667604687259214,-0.385043863810796,0.0185780806197346,0,9,1
"27",201410,"Loka",3,30,632.58,14,21.1666666666667,21.086,0.0806666666666667,0,14,0,1,0.00381102362204724,0.996188976377953,16.2573522647122,13.3729119645733,12.7540735594672,0.61883840510615,56,708.25,20,12.6473214285714,13.15,0.502678571428571,0.961773492667029,18.7381938690969,12.4166440150336,12.535924313919,0.119280298885432,-0.624154309072994,0.511163865179281,0.476005858606762,0.034415483710924,-0.356674943938732,-0.142018640270629,0.0268128835737933,1.64061580058192,-0.567793139791543,1.64061580058192,-0.567793139791543,0.511163865179281,0.653275708477324,0,10,1
"28",201411,"Loka",3,70,1024.1,23,14.6942857142857,14.63,0.0642857142857143,0,23,0,1,0.0043748784755979,0.995625121524402,17.0202481106517,12.5545780059255,12.5545780059255,0,30,632.58,14,21.086,21.1666666666667,0.0806666666666667,0.996188976377953,16.2573522647122,12.7540735594672,13.3729119645733,0.61883840510615,0.847297860387204,-0.365535098122725,-0.364968925939079,-0.000563854853550705,0.496436886313891,0.0458584471214292,-0.0157653350270932,0.430727299295457,-0.600391105653359,0.430727299295457,-0.600391105653359,-0.365535098122725,0.16531196772165,0,11,1
"32",201412,"Loka",3,42,749.8,21,17.852380952381,17.852380952381,0,0,0,0,0,0,1,16.2132895816243,13.2476893628657,13.2476893628657,0,70,1024.1,23,14.63,14.6942857142857,0.0642857142857143,0.995625121524402,17.0202481106517,12.5545780059255,12.5545780059255,0,-0.510825623765991,0.19906267098641,0.194678194726986,0.00437487847559792,-0.0909717782057267,-0.0485724501487108,0.0537377691067826,0.994097425556237,-0.424703774945334,0.994097425556237,-0.424703774945334,0.19906267098641,0.347584508014092,0,12,0
"35",201413,"Loka",3,70,973.64,23,14.3971428571429,13.9091428571429,0.488,46,161,1,1,0.0338956142091685,0.966104385790831,14.7319322985299,11.8841601247827,11.8506251237681,0.033535001014593,42,749.8,21,17.852380952381,17.852380952381,0,1,16.2132895816243,13.2476893628657,13.2476893628657,0,0.510825623765991,-0.249590502604088,-0.215107111821304,-0.0338956142091685,0.0909717782057267,-0.095813847450398,-0.111442530266333,0.289851529166503,-0.941416955207744,0.289851529166503,-0.941416955207744,-0.249590502604088,0.173705413163908,0,13,1
"37",201414,"Loka",3,77,1330.84,23,17.912987012987,17.2836363636364,0.629350649350649,0,23,0,1,0.0351337635032263,0.964866236496774,15.3943738384643,13.8759135640287,13.8629156379591,0.0129979260695748,70,973.64,23,13.9091428571429,14.3971428571429,0.488,0.966104385790831,14.7319322985299,11.8506251237681,11.8841601247827,0.033535001014593,0.0953101798043248,0.217213795533083,0.218496207030652,-0.00123814929405774,0,0.0439847044698065,0.156836715877225,0.851058526838569,-0.26130196788494,0.851058526838569,-0.26130196788494,0.217213795533083,0.246753339269463,0,14,1
"40",201415,"Loka",3,74,1201.7,24,16.2513513513514,16.2391891891892,0.0121621621621622,0,24,0,1,0.000748378513221354,0.999251621486779,14.4259578248808,12.1942126679502,11.824753036526,0.369459631424238,77,1330.84,23,17.2836363636364,17.912987012987,0.629350649350649,0.964866236496774,15.3943738384643,13.8629156379591,13.8759135640287,0.0129979260695748,-0.0397403286495139,-0.0623327722343534,-0.0973499158264914,0.0343853849900049,0.0425596144187961,-0.0649728969756636,-0.159022285828049,0.7023576640902,-0.950013755669322,0.7023576640902,-0.950013755669322,-0.0623327722343534,0.373321636318937,0,15,1
"45",201416,"Loka",3,79,1227.34,25,15.6189873417721,15.5359493670886,0.0830379746835443,0,100,0,1,0.00531647621363158,0.994683523786368,17.1868952509469,10.54144729311,10.3791191961654,0.162328096944574,74,1201.7,24,16.2391891891892,16.2513513513514,0.0121621621621622,0.999251621486779,14.4259578248808,11.824753036526,12.1942126679502,0.369459631424238,0.0653827592628513,-0.0442707542394185,-0.0396887539638326,-0.00456809770041022,0.0408219945202548,0.175117978880202,-0.130399031022994,0.613609076561029,-2.01542966170684,0.613609076561029,-2.01542966170684,-0.0442707542394185,0.496846608412436,1,16,1
"47",201417,"Loka",3,88,1423.84,27,16.2454545454545,16.18,0.0654545454545455,0,27,0,1,0.00402909904868495,0.995970900951315,14.7271541971853,11.5260990801966,11.4399452582736,0.0861538219229863,79,1227.34,25,15.5359493670886,15.6189873417721,0.0830379746835443,0.994683523786368,17.1868952509469,10.3791191961654,10.54144729311,0.162328096944574,0.107888962011185,0.0406192591566792,0.0393258379295451,0.00128737716494665,0.0769610411361286,-0.154454175345963,0.0973151825477272,0.69534023461453,-1.16106852098169,0.69534023461453,-1.16106852098169,0.0406192591566792,0.414342432128189,1,17,1
"49",201418,"Loka",3,103,1688.23,29,16.4572815533981,16.3905825242718,0.0666990291262136,0,29,0,1,0.00405285823845201,0.995947141761548,17.5536718422157,13.1380724294279,12.8446653413418,0.293407088086064,88,1423.84,27,16.18,16.2454545454545,0.0654545454545455,0.995970900951315,14.7271541971853,11.4399452582736,11.5260990801966,0.0861538219229863,0.157392173751429,0.0129310219380963,0.0129548775277932,-2.37591897670475e-05,0.071458963982145,0.17557013574437,0.115817375785249,0.737980472204168,-0.548522282698098,0.737980472204168,-0.548522282698098,0.0129310219380963,0.276061468998897,1,18,1
