"","brand","p-value-LRhist","p-value-LRcomp","Coef Price","Sd Price","RsqLinear","RsqHist","RsqComp","format","category","modeldecision"
"1","ICA",0.2986,0.9508,-0.8582104418151,0.449254830140891,0.4051,0.4144,0.4064,"hypermarket","Bottled water","linearity"
"2","Loka",0.1979,0.6164,-0.585049443418249,0.140862695814117,0.456,0.4675,0.4624,"hypermarket","Bottled water","linearity"
"3","Ramlösa",0.5894,0.2486,-1.09928131620812,0.262652947977218,0.5102,0.5136,0.5233,"hypermarket","Bottled water","linearity"
"4","ICA",0.1793,0,-0.360836902021384,0.175455531417593,0.3543,0.3688,0.4891,"supermarket","Bottled water","compgap"
"5","Loka",0,0.013,-0.320525140349626,0.114461983137861,0.2928,0.4259,0.3412,"supermarket","Bottled water","fullmodel"
"6","Ramlösa",0.0564,0.1576,-1.19290858236041,0.25035794592984,0.5376,0.5547,0.5531,"supermarket","Bottled water","histgap"
"7","ICA",0.1562,0.7053,-0.731882320913808,0.147533549425606,0.6235,0.6326,0.6269,"convenience","Bottled water","linearity"
"8","Loka",0.2506,0.6831,-0.8822367917621,0.297544089560315,0.427,0.4373,0.4326,"convenience","Bottled water","linearity"
"9","Ramlösa",0.5435,0.5122,-0.361929040186197,0.48205867275386,0.3524,0.3576,0.3621,"convenience","Bottled water","linearity"
"10","Becel",0.3624,0.2296,-1.49572317407441,0.165259255100696,0.6694,0.6738,0.6786,"hypermarket","Butter","linearity"
"11","Valio",0.004,0.5112,-3.99382115422558,0.563314351386694,0.6338,0.6594,0.6393,"hypermarket","Butter","histgap"
"12","Kronjäst",0.0114,0.3345,-2.08136771416529,0.0732825091558847,0.8936,0.8997,0.896,"hypermarket","Butter","histgap"
"13","ICA",9e-04,0.4735,0.869820726011499,0.223072521971671,0.5207,0.5631,0.5285,"hypermarket","Butter","histgap"
"14","Bregott",0.1853,0.3253,-1.63336573675434,0.432477191417105,0.5564,0.5661,0.5664,"hypermarket","Butter","linearity"
"15","Milda",0.5067,0.8669,-3.16618059144183,0.205211670943177,0.7841,0.7861,0.7852,"hypermarket","Butter","linearity"
"16","Flora",0.1564,0.2327,-3.21482678760362,0.326661048311622,0.6169,0.6262,0.6276,"hypermarket","Butter","linearity"
"17","Svenskt smör",0.3263,0.0301,-1.14450782632861,0.553642346117917,0.5885,0.5946,0.612,"hypermarket","Butter","compgap"
"18","Becel",0.1075,0.0808,-1.28658522483192,0.197849834433022,0.5891,0.601,0.6069,"supermarket","Butter","compgap"
"19","Svenskt smör",0.6286,0.2195,-2.10345439686289,0.401870239228386,0.5891,0.5916,0.6009,"supermarket","Butter","linearity"
"20","Kronjäst",0.2716,0.4714,-1.46688223257991,0.107497898226861,0.7156,0.7205,0.7203,"supermarket","Butter","linearity"
"21","ICA",0.0032,0.1368,1.30518974734217,0.25852634094059,0.529,0.5633,0.5458,"supermarket","Butter","histgap"
"22","Bregott",0.1376,0.768,-1.43439670541645,0.319018528142522,0.4957,0.5087,0.4995,"supermarket","Butter","linearity"
"23","Lätta",0,0.0208,-0.289433827387087,0.799655245070069,0.5716,0.6272,0.5982,"supermarket","Butter","fullmodel"
"24","Flora",0.3448,0.8424,-2.37305424780522,0.498908353704572,0.3838,0.3924,0.3871,"supermarket","Butter","linearity"
"25","Milda",0.9197,0.0071,-2.84337713339331,0.197136213971557,0.7303,0.7306,0.7509,"supermarket","Butter","compgap"
