"","brand","p-value-LRhist","p-value-LRcomp","Coef Price","Sd Price","RsqLinear","RsqHist","RsqComp","format","category","modeldecision"
"1","ICA",0.4096,0.4877,-0.550398383449512,0.379619656713214,0.6337,0.638,0.6395,"hypermarket","Bottled water","linearity"
"2","Loka",0.0608,0.0932,-0.676871158515759,0.122006172260601,0.6716,0.6835,0.6852,"hypermarket","Bottled water","linearity"
"3","Ramlösa",0.1676,0.4626,-1.25022974710794,0.213029689831955,0.7272,0.7335,0.7317,"hypermarket","Bottled water","linearity"
"4","ICA",0.5563,0.0452,-0.26613044113969,0.101248546837522,0.8346,0.8359,0.8431,"supermarket","Bottled water","compgap"
"5","Loka",0.0033,0.0016,-0.101288545704712,0.0820418736017792,0.6985,0.7203,0.7273,"supermarket","Bottled water","fullmodel"
"6","Ramlösa",0.5411,0.9001,-0.715788772970464,0.183421961780861,0.7838,0.7855,0.7846,"supermarket","Bottled water","linearity"
"7","ICA",0.6399,0.8063,-0.317333252835864,0.100450186863243,0.857,0.8578,0.8579,"convenience","Bottled water","linearity"
"8","Loka",0.0227,0.5465,-0.971294261384807,0.226348788495096,0.7705,0.7816,0.7736,"convenience","Bottled water","histgap"
"9","Ramlösa",0.1522,0.2701,0.0336566657049409,0.244267973056149,0.8665,0.8697,0.8699,"convenience","Bottled water","linearity"
"10","Becel",0.3355,0.6655,-1.42068768265505,0.180516364121367,0.7738,0.777,0.7761,"hypermarket","Butter","linearity"
"11","Valio",1e-04,0.0044,-3.43902517884046,0.570831445478205,0.7254,0.7572,0.7481,"hypermarket","Butter","fullmodel"
"12","Kronjäst",0.3217,0.242,-1.91865869273589,0.0703730093545549,0.9501,0.9508,0.9514,"hypermarket","Butter","linearity"
"13","ICA",5e-04,0.2386,0.737912022117735,0.219584579933273,0.6541,0.687,0.6635,"hypermarket","Butter","histgap"
"14","Bregott",0.0035,0.9047,-0.572896591504471,0.419579696516238,0.6517,0.6767,0.653,"hypermarket","Butter","histgap"
"15","Milda",0.4388,0.9196,-2.57787667592877,0.211954009093015,0.832,0.8338,0.8325,"hypermarket","Butter","linearity"
"16","Flora",0.3355,0.0156,-2.5050067368589,0.275805486218347,0.7886,0.7916,0.8026,"hypermarket","Butter","compgap"
"17","Svenskt smör",0.4076,0.1681,-1.61736629973788,0.573623806000497,0.6785,0.6823,0.689,"hypermarket","Butter","linearity"
"18","Becel",0.0481,0.2077,-1.16981353176464,0.160794544947775,0.7612,0.7705,0.7682,"supermarket","Butter","histgap"
"19","Svenskt smör",0.6217,0.1987,-2.02042885785152,0.404694133820498,0.651,0.6532,0.6615,"supermarket","Butter","linearity"
"20","Kronjäst",1e-04,0.2421,-1.42825209529408,0.0967018291955215,0.87,0.8847,0.8735,"supermarket","Butter","histgap"
"21","ICA",0.3632,0.3566,0.77799152587609,0.237839182860473,0.6615,0.6659,0.6686,"supermarket","Butter","linearity"
"22","Bregott",0.0021,0.4877,-0.695548130079799,0.297710709137633,0.6003,0.6314,0.6067,"supermarket","Butter","histgap"
"23","Lätta",0.033,0.4993,-0.856672725641742,0.730418260284109,0.7483,0.7594,0.7522,"supermarket","Butter","histgap"
"24","Flora",0.417,0.4284,-2.02276047275033,0.419390529061281,0.651,0.655,0.6573,"supermarket","Butter","linearity"
"25","Milda",0.1369,0.0024,-2.30052294153462,0.161056352213788,0.8754,0.8786,0.8867,"supermarket","Butter","compgap"
"26","Becel",0.3541,0.4488,-0.896916342587453,0.267190009758278,0.8002,0.8029,0.8036,"convenience","Butter","linearity"
"27","Bregott",0.0173,0.3672,-0.657927174364729,0.302653307966382,0.6049,0.6254,0.613,"convenience","Butter","histgap"
"28","Milda",0.956,0.0186,-1.60484205344875,0.274756815461971,0.7755,0.7757,0.7898,"convenience","Butter","compgap"
"29","Svenskt smör",0.1426,0.1024,0.33023584366244,0.538246871254453,0.6235,0.633,0.6385,"convenience","Butter","linearity"
"30","ICA",0.2449,0.3564,0.705263134235515,0.242668181155335,0.6611,0.6673,0.6682,"convenience","Butter","linearity"
"31","Kronjäst",0.6639,0.2069,-0.315810173607812,0.746637103720917,0.431,0.4341,0.4478,"convenience","Butter","linearity"
"32","Estrella",0.4014,0.9297,-1.86748223830888,0.124653374984073,0.8682,0.8698,0.8686,"hypermarket","Chips & Salty snacks","linearity"
"33","ICA",0.4304,0.6497,-1.29057337031658,0.141967939399281,0.7709,0.7734,0.7733,"hypermarket","Chips & Salty snacks","linearity"
"34","Olw",0.8225,0.6481,-1.98017966110078,0.122364684388068,0.8547,0.8551,0.8563,"hypermarket","Chips & Salty snacks","linearity"
"35","Pringles",0.0021,0.7074,-0.389342510977716,0.466636927606528,0.5964,0.628,0.6001,"hypermarket","Chips & Salty snacks","histgap"
"36","ICA Basic",0.6997,0.8275,0.0997768446092548,0.146359796178555,0.7102,0.7116,0.7119,"hypermarket","Chips & Salty snacks","linearity"
"37","LantChips",0.4345,0.4916,-3.63912893060399,0.567551002682055,0.6947,0.6981,0.6996,"hypermarket","Chips & Salty snacks","linearity"
"38","Estrella",0.0412,0.2274,-0.625929955520907,0.278323892505593,0.7701,0.7796,0.7766,"supermarket","Chips & Salty snacks","histgap"
"39","ICA",0.3841,0.4674,-0.99346638183175,0.183022910370709,0.6684,0.6725,0.6739,"supermarket","Chips & Salty snacks","linearity"
"40","Olw",0.0288,0.0423,-0.705451956955078,0.231635991696988,0.7522,0.7635,0.7652,"supermarket","Chips & Salty snacks","fullmodel"
"41","Pringles",0.4857,0.0144,0.508413224633879,0.593111819405352,0.7044,0.7072,0.7242,"supermarket","Chips & Salty snacks","compgap"
"42","Estrella",0.1732,0.1746,-0.186142383860052,0.215494645380376,0.8535,0.8569,0.8583,"convenience","Chips & Salty snacks","linearity"
"43","ICA",0.4459,0.2943,-0.859607071655084,0.193882396432052,0.8046,0.8067,0.8093,"convenience","Chips & Salty snacks","linearity"
