"","vecka","brand","format","totalvolume","totalvalue","LL","avgpricebefore","avgfinalprice","avgdiscount","totalnonpricecampaign","totalpricecampaign","nonpricecampaign","pricecampaign","depth","nondepth","avgcompLL","avgcomppricebefore","avgcompfinalprice","avgcompdiscount","totalvolume1","totalvalue1","LL1","avgfinalprice1","avgpricebefore1","avgdiscount1","nondepth1","avgcompLL1","avgcompfinalprice1","avgcomppricebefore1","avgcompdiscount1","dlogtotalvolume","dlogavgfinalprice","dlogavgpricebefore","dlognondepth","dlogLL","dlogavgcompLL","dlogavgcompfinalprice","cop_finalprice","cop_avgcompfinalprice","cop_logfinalprice","cop_logavgcompfinalprice","hgap","cgap","holiday","trend","campaign"
"3",201402,"Ramlösa",3,29,464.1,13,16.0034482758621,16.0034482758621,0,0,0,0,0,0,1,11.3491628935453,16.5848244474863,16.1801030923555,0.404721355130822,28,409.2,14,14.6142857142857,14.6142857142857,0,1,16.6744604316547,14.1684364136598,14.1684364136598,0,0.0350913198112703,0.0908046923583883,0.0908046923583883,0,-0.0741079721537217,-0.384734246021597,0.132765580424706,0.667604687259214,0.35353924775488,0.667604687259214,0.35353924775488,0.0908046923583883,-0.0109180278694835,1,2,0
"5",201403,"Ramlösa",3,28,354.71,12,12.7928571428571,12.6682142857143,0.124642857142857,0,12,0,1,0.00974316024567281,0.990256839754327,14.6488861639076,17.5672378972115,17.4233530471341,0.14388485007737,29,464.1,13,16.0034482758621,16.0034482758621,0,1,11.3491628935453,16.1801030923555,16.5848244474863,0.404721355130822,-0.0350913198112703,-0.233708172214675,-0.223917236809248,-0.00974316024567279,-0.0800427076735364,0.255220315470466,0.074029152313996,0.0164917230218579,0.730782063985963,0.0164917230218579,0.730782063985963,-0.233708172214675,-0.272917546270004,0,3,1
"8",201404,"Ramlösa",3,34,416.51,12,12.3117647058824,12.2502941176471,0.0614705882352941,0,48,0,1,0.00499283325370282,0.995007166746297,13.8989472973885,13.2912171576236,13.2122938060439,0.0789233515796493,28,354.71,12,12.6682142857143,12.7928571428571,0.124642857142857,0.990256839754327,14.6488861639076,17.4233530471341,17.5672378972115,0.14388485007737,0.194156014440958,-0.0335460977396287,-0.0383316940556697,0.00475032699196998,0,-0.0525511995374157,-0.276663690417137,-0.165664413868553,-0.442821657596511,-0.165664413868553,-0.442821657596511,-0.0335460977396287,-0.0728109518694465,0,4,1
"11",201405,"Ramlösa",3,30,329.83,13,11.0033333333333,10.9943333333333,0.009,39,13,1,1,0.000817933959406241,0.999182066040594,17.8959420262995,19.8439532989634,19.8211167349585,0.0228365640049053,34,416.51,12,12.2502941176471,12.3117647058824,0.0614705882352941,0.995007166746297,13.8989472973885,13.2122938060439,13.2912171576236,0.0789233515796493,-0.125163142954006,-0.108169957759263,-0.112357028198746,0.0041748992942966,0.0800427076735364,0.252760881436601,0.405600126058379,-0.58727721103808,1.41218757890616,-0.58727721103808,1.41218757890616,-0.108169957759263,-0.445322204578786,0,5,1
"14",201406,"Ramlösa",3,38,578.2,16,15.2157894736842,15.2157894736842,0,32,0,1,0,0,1,17.8910732655161,14.0304051075225,14.0304051075225,0,30,329.83,13,10.9943333333333,11.0033333333333,0.009,0.999182066040594,17.8959420262995,19.8211167349585,19.8439532989634,0.0228365640049053,0.23638877806423,0.324953681308771,0.324135412658868,0.000817933959406214,0.207639364778244,-0.000272096500573138,-0.345521103081644,0.516846727652609,-0.227319336112519,0.516846727652609,-0.227319336112519,0.324953681308771,0.0844868239425358,0,6,1
"17",201407,"Ramlösa",3,60,686.7,17,12.15,11.445,0.705,85,119,1,1,0.0580246913580247,0.941975308641975,20.8161086851043,14.1827180097922,14.1827180097922,0,38,578.2,16,15.2157894736842,15.2157894736842,0,1,17.8910732655161,14.0304051075225,14.0304051075225,0,0.456758402495715,-0.284780716451329,-0.225004500069302,-0.0580246913580247,0.060624621816435,0.151425254781707,0.0107974137713129,-0.436766492461671,-0.165664413868553,-0.436766492461671,-0.165664413868553,-0.284780716451329,-0.193031970874837,0,7,1
"20",201408,"Ramlösa",3,27,338.84,14,12.7518518518519,12.5496296296296,0.202222222222222,0,98,0,1,0.0158582631426082,0.984141736857392,19.5842832469775,17.8865256188831,17.4973138313184,0.389211787564767,60,686.7,17,11.445,12.15,0.705,0.941975308641975,20.8161086851043,14.1827180097922,14.1827180097922,0,-0.798507696217771,0.092138200154491,0.0483473345535916,0.0421664282154165,-0.194156014440958,-0.0609997735771786,0.210023191947849,-0.0605038043562068,0.759809571009918,-0.0605038043562068,0.759809571009918,0.092138200154491,-0.282768215132136,0,8,1
"23",201409,"Ramlösa",3,53,688.16,21,13.1264150943396,12.9841509433962,0.142264150943396,63,105,1,1,0.010838004887164,0.989161995112836,17.9499316168163,12.569898232231,12.1464908489709,0.423407383260136,27,338.84,14,12.5496296296296,12.7518518518519,0.202222222222222,0.984141736857392,19.5842832469775,17.4973138313184,17.8865256188831,0.389211787564767,0.674455047547793,0.0340383019242827,0.0289501150373246,0.00502025825544417,0.405465108108165,-0.0871410641294954,-0.365007064739046,0.0880655697240946,-0.8045963803603,0.0880655697240946,-0.8045963803603,0.0340383019242827,0.0689631355130309,0,9,1
"25",201410,"Ramlösa",3,41,548.86,18,14.0951219512195,13.3868292682927,0.708292682926829,36,162,1,1,0.0502509084616716,0.949749091538328,13.0172034243783,19.5337778107203,19.4442702294037,0.0895075813166315,53,688.16,21,12.9841509433962,13.1264150943396,0.142264150943396,0.989161995112836,17.9499316168163,12.1464908489709,12.569898232231,0.423407383260136,-0.256719846847814,0.0305418776940996,0.071202157241951,-0.0394129035745076,-0.154150679827258,-0.321314482323683,0.470512127860921,0.199201324789267,1.35493396671422,0.199201324789267,1.35493396671422,0.0305418776940996,-0.311528326321598,0,10,1
"29",201411,"Ramlösa",3,45,594.5,19,13.2111111111111,13.2111111111111,0,57,0,1,0,0,1,21.3945530108763,14.1470846228667,14.0888699266071,0.0582146962596162,41,548.86,18,13.3868292682927,14.0951219512195,0.708292682926829,0.949749091538328,13.0172034243783,19.4442702294037,19.5337778107203,0.0895075813166315,0.0930904230660117,-0.0132131068168864,-0.0647705502589075,0.0502509084616716,0.0540672212702757,0.496864534471713,-0.322167318153769,0.154528574694707,-0.204811632505135,0.154528574694707,-0.204811632505135,-0.0132131068168864,-0.0623015770653364,0,11,1
