,par_name,par.est,par.se,tstat,category,format,brand,NS
9,constant,-0.12613357,0.07014337,-1.798225118,Bottled water,supermarket,ICA,NS
10,price_elas,-0.451979887,0.150688058,-2.999440648,Bottled water,supermarket,ICA,S
11,cgap_gain_slope,4.775494481,3.174902745,1.504138824,Bottled water,supermarket,ICA,NS
12,cgap_gain_threshold,-0.731194381,1.227055318,-0.595893576,Bottled water,supermarket,ICA,NS
13,cgap_loss_slope,-0.149057911,0.296780678,-0.502249378,Bottled water,supermarket,ICA,NS
14,cgap_loss_threshold,-0.017376099,0.061624866,-0.281965701,Bottled water,supermarket,ICA,NS
15,compprice,-0.177012366,0.204102566,-0.867271634,Bottled water,supermarket,ICA,NS
16,campaign,0.163223226,0.065455965,2.493634107,Bottled water,supermarket,ICA,S
17,ethat,-0.714898542,0.075542668,-9.463506711,Bottled water,supermarket,ICA,S
18,holiday,0.170788516,0.075195743,2.27125246,Bottled water,supermarket,ICA,S
19,cop_price,0.064844011,0.048534557,1.336037969,Bottled water,supermarket,ICA,NS
20,cop_compprice,0.103289526,0.057321031,1.80194814,Bottled water,supermarket,ICA,NS
21,model_SE,0.131035472,0.01502875,8.7189865,Bottled water,supermarket,ICA,S
38,constant,-0.085987579,0.1126117,-0.763575891,Bottled water,supermarket,Loka,NS
39,price_elas,-0.195084265,0.185949311,-1.04912604,Bottled water,supermarket,Loka,NS
40,hgap_gain_slope,0.448318015,0.2180381,2.056145297,Bottled water,supermarket,Loka,S
41,hgap_gain_threshold,-0.230935756,0.027761791,-8.318474631,Bottled water,supermarket,Loka,S
42,hgap_loss_slope,-1.547317324,0.305993411,-5.056701449,Bottled water,supermarket,Loka,S
43,hgap_loss_threshold,0.526578737,0.016215034,32.47472287,Bottled water,supermarket,Loka,S
44,cgap_gain_slope,-0.183193605,0.208502275,-0.878616814,Bottled water,supermarket,Loka,NS
45,cgap_gain_threshold,0.601768637,0.035050622,17.16855822,Bottled water,supermarket,Loka,S
46,cgap_loss_slope,0.812782149,3.420031791,0.23765339,Bottled water,supermarket,Loka,NS
47,cgap_loss_threshold,1.986502524,1.38394317,1.435393134,Bottled water,supermarket,Loka,NS
48,campaign,0.138793138,0.103783081,1.337338775,Bottled water,supermarket,Loka,NS
49,ethat,-0.451176497,0.064419118,-7.003767033,Bottled water,supermarket,Loka,S
50,holiday,0.07909652,0.045739854,1.7292692,Bottled water,supermarket,Loka,NS
51,cop_price,-0.041058475,0.037903669,-1.08323219,Bottled water,supermarket,Loka,NS
52,cop_compprice,-0.002535705,0.030582377,-0.082913942,Bottled water,supermarket,Loka,NS
53,model_SE,0.048959522,0.005609848,8.727423791,Bottled water,supermarket,Loka,S
70,constant,-0.193940326,0.124643794,-1.555956536,Bottled water,supermarket,Ramlösa,NS
71,price_elas,-1.558259537,0.28879017,-5.395819175,Bottled water,supermarket,Ramlösa,S
72,hgap_gain_slope,0.925178157,0.515331645,1.795306315,Bottled water,supermarket,Ramlösa,NS
73,hgap_gain_threshold,-0.296907093,0.037913357,-7.831200239,Bottled water,supermarket,Ramlösa,S
74,hgap_loss_slope,0.824949487,0.432238774,1.908550403,Bottled water,supermarket,Ramlösa,NS
75,hgap_loss_threshold,0.299879846,0.041578856,7.212315973,Bottled water,supermarket,Ramlösa,S
76,compprice,-0.087171111,0.160016377,-0.544763683,Bottled water,supermarket,Ramlösa,NS
77,campaign,0.171605332,0.125486675,1.367518354,Bottled water,supermarket,Ramlösa,NS
78,ethat,-0.914891875,0.080046757,-11.42946841,Bottled water,supermarket,Ramlösa,S
79,holiday,0.174800615,0.069831437,2.503179397,Bottled water,supermarket,Ramlösa,S
80,cop_price,0.094368773,0.097513623,0.967749629,Bottled water,supermarket,Ramlösa,NS
81,cop_compprice,0.004487071,0.041778463,0.107401547,Bottled water,supermarket,Ramlösa,NS
82,model_SE,0.112302233,0.01287961,8.719381806,Bottled water,supermarket,Ramlösa,S
99,constant,-0.147628399,0.088324587,-1.671430392,Butter,supermarket,Becel,NS
100,price_elas,-1.492222254,NaN,NA,Butter,supermarket,Becel,#VALUE!
101,cgap_gain_slope,-0.841839614,NaN,NA,Butter,supermarket,Becel,#VALUE!
102,cgap_gain_threshold,-0.290340573,0.0059072,-49.15028687,Butter,supermarket,Becel,S
103,cgap_loss_slope,0.342782682,NaN,NA,Butter,supermarket,Becel,#VALUE!
104,cgap_loss_threshold,-0.290336385,0.021402279,-13.56567635,Butter,supermarket,Becel,S
105,compprice,0.59601209,0.427049403,1.395651381,Butter,supermarket,Becel,NS
106,campaign,0.065034337,0.079026267,0.822945835,Butter,supermarket,Becel,NS
107,ethat,-0.902407312,0.081785824,-11.03378634,Butter,supermarket,Becel,S
108,holiday,-0.059375643,0.055334635,-1.073028539,Butter,supermarket,Becel,NS
109,cop_price,0.187938017,0.091809507,2.047043095,Butter,supermarket,Becel,S
110,cop_compprice,-0.04752171,0.032678574,-1.454216152,Butter,supermarket,Becel,NS
111,model_SE,0.070828894,0.008120233,8.722519935,Butter,supermarket,Becel,S
112,constant,-0.070030379,0.069536184,-1.007107018,Butter,convenience,Becel,NS
113,price_elas,-0.116016038,0.862162414,-0.134564017,Butter,convenience,Becel,NS
114,hgap_gain_slope,-3.154812162,0.95279549,-3.311111559,Butter,convenience,Becel,S
115,hgap_gain_threshold,-0.514772134,0.031185312,-16.50687762,Butter,convenience,Becel,S
116,hgap_loss_slope,0.239724393,0.942199289,0.254430666,Butter,convenience,Becel,NS
117,hgap_loss_threshold,-0.140803212,0.062398387,-2.256520044,Butter,convenience,Becel,S
118,cgap_gain_slope,1.208816722,0.850710496,1.420949581,Butter,convenience,Becel,NS
119,cgap_gain_threshold,-0.128848318,0.049785658,-2.588060992,Butter,convenience,Becel,S
120,cgap_loss_slope,-2.651190293,1.373312488,-1.930507672,Butter,convenience,Becel,NS
121,cgap_loss_threshold,0.286558689,1.871005121,0.153157619,Butter,convenience,Becel,NS
122,campaign,0.281731299,0.089619411,3.143641479,Butter,convenience,Becel,S
123,ethat,-0.961213061,0.078306213,-12.27505491,Butter,convenience,Becel,S
124,holiday,-0.100290477,0.104659979,-0.958250498,Butter,convenience,Becel,NS
125,cop_price,0.165757075,0.190163708,0.871654623,Butter,convenience,Becel,NS
126,cop_compprice,0.018294219,0.054588514,0.335129455,Butter,convenience,Becel,NS
127,model_SE,0.246831271,0.028312393,8.718135115,Butter,convenience,Becel,S
128,constant,-0.106104599,0.127442848,-0.832566131,Butter,hypermarket,ICA,NS
129,price_elas,1.288369512,0.249290516,5.168144918,Butter,hypermarket,ICA,S
130,hgap_gain_slope,-2.745438441,0.529242449,-5.187487223,Butter,hypermarket,ICA,S
131,hgap_gain_threshold,-0.257300991,0.019503705,-13.19241603,Butter,hypermarket,ICA,S
132,hgap_loss_slope,-0.620419813,0.457482777,-1.356159934,Butter,hypermarket,ICA,NS
133,hgap_loss_threshold,0.220779451,0.036775794,6.003390533,Butter,hypermarket,ICA,S
134,compprice,0.011819681,0.387060392,0.030537045,Butter,hypermarket,ICA,NS
135,campaign,0.195707807,0.11845472,1.652173984,Butter,hypermarket,ICA,NS
136,ethat,-0.90057869,0.075391048,-11.94543277,Butter,hypermarket,ICA,S
137,holiday,-0.04030718,0.046752688,-0.862136112,Butter,hypermarket,ICA,NS
138,cop_price,0.196604844,0.10278806,1.912720634,Butter,hypermarket,ICA,NS
139,cop_compprice,0.020098147,0.024782519,0.810980807,Butter,hypermarket,ICA,NS
140,model_SE,0.049310502,0.005648176,8.730341263,Butter,hypermarket,ICA,S
149,constant,-0.787057267,0.207269458,-3.797266,Butter,hypermarket,Valio,S
150,price_elas,-5.461960362,0.66867393,-8.168346513,Butter,hypermarket,Valio,S
151,hgap_gain_slope,4.815438744,1.189269646,4.04907227,Butter,hypermarket,Valio,S
152,hgap_gain_threshold,-0.353245383,0.035526919,-9.943034475,Butter,hypermarket,Valio,S
153,hgap_loss_slope,2.427542782,1.135886046,2.137135843,Butter,hypermarket,Valio,S
154,hgap_loss_threshold,0.368172456,0.31209,1.179699625,Butter,hypermarket,Valio,NS
155,compprice,2.6996925,1.353161129,1.995100541,Butter,hypermarket,Valio,S
156,campaign,0.792862179,0.162618158,4.875606692,Butter,hypermarket,Valio,S
157,ethat,-0.878847946,0.073749526,-11.9166589,Butter,hypermarket,Valio,S
158,holiday,0.20183623,0.14390446,1.402571057,Butter,hypermarket,Valio,NS
159,cop_price,0.237402066,0.207837888,1.142246337,Butter,hypermarket,Valio,NS
